,Date,Price
202,1577.2,29 Jan 2020
203,1568.59,28 Jan 2020
204,1581.17,27 Jan 2020
205,1571.56,24 Jan 2020
206,1561.04,23 Jan 2020
207,1561.45,22 Jan 2020
208,1556.56,21 Jan 2020
209,1561.31,20 Jan 2020
210,1557.3,17 Jan 2020
211,1552.27,16 Jan 2020
212,1556.35,15 Jan 2020
213,1549.6,14 Jan 2020
214,1545.44,13 Jan 2020
215,1562.05,10 Jan 2020
216,1552.72,09 Jan 2020
217,1557.89,08 Jan 2020
218,1595.24,07 Jan 2020
219,1563.83,06 Jan 2020
220,1552.24,03 Jan 2020
221,1528.95,02 Jan 2020
